a52dec 0.7.4-11
aalib 1.4rc5-14
abook 0.6.1-6
accountsservice 0.6.55-3
acl 2.2.53-3
acpi 1.7-3
acpilight 1.2-2
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
alsa-card-profiles 14.0-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
aom 2.0.1-1
arandr 0.1.10-5
arc-gtk-theme 20201013-2
arc-x-icons-theme 2.1-3
archlinux-keyring 20201210-1
archlinux-xdg-menu 0.7.6.3-2
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
attr 2.4.48-3
audiofile 0.3.6-6
audit 2.8.5-9
autoconf 2.70-1
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-3
b43-fwcutter 019-3
baobab 3.38.0-1
base 2-2
bash 5.1.004-1
bash-completion 2.11-1
bat 0.17.1-1
bc 1.07.1-4
biber 1:2.15-1
bind 9.16.10-1
binutils 2.35.1-1
bison 3.7.2-1
blas 3.9.0-3
blueberry 1.3.9-1
bluez 5.55-1
bluez-hid2hci 5.55-1
bluez-libs 5.55-1
bluez-tools 0.2.0-5
bluez-utils 5.55-1
boost 1.75.0-2
boost-libs 1.75.0-2
brotli 1.0.9-4
btrfs-progs 5.9-3
bubblewrap 0.4.1-1
bzip2 1.0.8-4
ca-certificates 20181109-4
ca-certificates-mozilla 3.60-1
ca-certificates-utils 20181109-4
cairo 1.17.4-3
cairomm 1.12.2-4
calibre 5.8.1-1
cantarell-fonts 1:0.301-1
capitaine-cursors 4-1
cblas 3.9.0-3
cfitsio 1:3.49-1
cgal 4.14.3-1
cgns 4.1.1-2
chmlib 0.40-6
chromaprint 1.5.0-3
cifs-utils 6.11-3
clang 11.0.0-4
cmake 3.19.2-1
cmus 2.8.0-5
colord 1.4.5-1
compiler-rt 11.0.0-1
confuse 3.3-2
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.4-1
ctags 1:r20200106+ga3c87ab5-1
curl 7.74.0-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dconf 0.38.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dex 0.9.0-1
dhclient 4.4.2-2
dialog 1:1.3_20201126-1
diff-so-fancy 1.3.0-1
diffutils 3.7-3
djvulibre 3.5.28-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-2
dnssec-anchors 20190629-3
dosfstools 4.1-3
double-conversion 3.1.5-2
dunst 1.5.0-1
e2fsprogs 1.45.6-3
easytag 2.4.3-4
efibootmgr 17-2
efivar 37-4
elfutils 0.181-1
ell 0.35-1
emacs 27.1-3
embree 3.12.1-1
enca 1.19-4
enchant 2.2.13-2
endeavouros-keyring 1-5
endeavouros-mirrorlist 3.2-2
endeavouros-theming 6.2-2
eos-bash-shared 1.5.8-1
eos-hooks 1.3-3
eos-log-tool 1.4.2-1
eos-translations 1.1.5-1
eos-update-notifier 1.10.4-2
ethtool 1:5.9-1
evince 3.38.0+1+gffa3fd98-1
exempi 2.5.2-1
exiv2 0.27.3-1
expat 2.2.10-2
extra-cmake-modules 5.77.0-1
f2fs-tools 1.14.0-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-1
feh 3.6.1-1
ffmpeg 2:4.3.1-3
ffmpegthumbnailer 2.2.2-2
fftw 3.3.9-1
file 5.39-1
file-roller 3.38.0-1
filesystem 2020.09.03-1
findutils 4.7.0-2
flac 1.3.3-2
flex 2.6.4-3
fluidsynth 2.1.5-2
fontconfig 2:2.13.91+48+gfcb0420-2
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.1-1
fuse2 2.9.9-4
fuse3 3.10.1-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.2.0-4
gcc-libs 10.2.0-4
gcolor2 0.4-9
gcr 3.38-1
gd 2.3.0-1
gdal 3.0.4-17
gdbm 1.18.1-3
gdk-pixbuf2 2.42.2-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20201222-1
geos 3.8.1-1
gettext 0.21-1
ghc 8.10.2-1
ghc-libs 8.10.2-1
ghc-static 8.10.2-1
ghostscript 9.53.3-2
giblib 1.2.4-8
giflib 5.2.1-2
girara 0.3.5-1
git 2.30.0-1
github-cli 1.4.0-1
gl2ps 1.4.2-2
glances 3.1.5-2
glew 2.2.0-2
glfw-x11 3.3.2-2
glib-networking 2.66.0-1
glib2 2.66.4-1
glibc 2.32-5
glibmm 2.64.5-1
glslang 11.1.0-1
glu 9.0.1-2
gmime3 3.2.7-1
gmp 6.2.1-1
gnome-autoar 0.2.4-2
gnome-bluetooth 3.34.3-1
gnome-desktop 1:3.38.2-1
gnome-disk-utility 3.38.1-1
gnome-keyring 1:3.36.0-3
gnome-online-accounts 3.38.0-1
gnome-themes-extra 3.28-2
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-8
gnupg 2.2.25-1
gnutls 3.7.0-1
go 2:1.15.6-1
go-tools 2:1.15+4895+c1934b75d-2
gobject-introspection 1.66.1-3
gobject-introspection-runtime 1.66.1-3
gpgme 1.15.0-2
gpick 0.2.6rc1-10
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.5-1
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-3
grub 2:2.04-8
grub-tools 1.5-3
grub2-theme-endeavouros 20200919-1
gsettings-desktop-schemas 3.38.0-1
gsfonts 20200910-1
gsm 1.0.19-1
gspell 1.8.4-1
gssdp 1.2.3-1
gst-libav 1.18.2-1
gst-plugins-bad 1.18.2-1
gst-plugins-bad-libs 1.18.2-1
gst-plugins-base-libs 1.18.2-1
gst-plugins-good 1.18.2-1
gst-plugins-ugly 1.18.2-1
gstreamer 1.18.2-1
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:3.24.24-1
gtk2 2.24.33-1
gtk3 1:3.24.24-1
gtkmm3 3.24.3-1
gtksourceview3 3.24.11+28+g73e57b57-1
gtkspell3 3.0.10-2
gtop 1.1.0-1
guile 2.2.6-2
gumbo-parser 0.10.1-2
gupnp 1.2.4-1
gupnp-dlna 0.10.5+4+gc947eed-2
gupnp-igd 1.2.0-1
gvfs 1.46.1-1
gvfs-afc 1.46.1-1
gvfs-goa 1.46.1-1
gvfs-google 1.46.1-1
gvfs-gphoto2 1.46.1-1
gvfs-mtp 1.46.1-1
gvfs-nfs 1.46.1-1
gvfs-smb 1.46.1-1
gzip 1.10-3
hardinfo 0.5.1.816.g877ea2b-2
harfbuzz 2.7.4-1
harfbuzz-icu 2.7.4-1
hdf5 1.12.0-2
hdparm 9.58-3
hexer-hobu 1.4.0-4
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
htop 3.0.4-1
hunspell 1.7.0-3
